,Week,Rank,Title,Artist
0,2022-05-14,1,Wait For U,Future ft. Drake & Tems
1,2022-05-14,2,As It Was,Harry Styles
2,2022-05-14,3,First Class,Jack Harlow
3,2022-05-14,4,Puffin On Zootiez,Future
4,2022-05-14,5,Heat Waves,Glass Animals
5,2022-05-14,6,Big Energy,Latto
6,2022-05-14,7,Enemy,Imagine Dragons X JID
7,2022-05-14,8,712PM,Future
8,2022-05-14,9,Stay,The Kid LAROI & Justin Bieber
9,2022-05-14,10,I'm Dat N***a,Future
10,2022-05-14,11,I'm On One,Future ft. Drake
11,2022-05-14,12,Love You Better,Future
12,2022-05-14,13,Woman,Doja Cat
13,2022-05-14,14,Ghost,Justin Bieber
14,2022-05-14,15,Keep It Burnin,Future ft. Kanye West
15,2022-05-14,16,Super Gremlin,Kodak Black
16,2022-05-14,17,Thats What I Want,Lil Nas X
17,2022-05-14,18,Bad Habits,Ed Sheeran
18,2022-05-14,19,About Damn Time,Lizzo
19,2022-05-14,20,Massaging Me,Future
20,2022-05-14,21,Shivers,Ed Sheeran
21,2022-05-14,22,Cold Heart (PNAU Remix),Elton John & Dua Lipa
22,2022-05-14,23,abcdefu,GAYLE
23,2022-05-14,24,For A Nut,Future ft. Gunna & Young Thug
24,2022-05-14,25,Provenza,Karol G
25,2022-05-14,26,Chickens,Future ft. EST Gee
26,2022-05-14,27,MAMIII,Becky G X Karol G
27,2022-05-14,28,Bam Bam,Camila Cabello ft. Ed Sheeran
28,2022-05-14,29,Gold Stacks,Future
29,2022-05-14,30,Wasted On You,Morgan Wallen
30,2022-05-14,31,Industry Baby,Lil Nas X & Jack Harlow
31,2022-05-14,32,'Til You Can't,Cody Johnson
32,2022-05-14,33,Need To Know,Doja Cat
33,2022-05-14,34,Boyfriend,Dove Cameron
34,2022-05-14,35,AA,Walker Hayes
35,2022-05-14,36,Easy On Me,Adele
36,2022-05-14,37,One Right Now,Post Malone & The Weeknd
37,2022-05-14,38,In A Minute,Lil Baby
38,2022-05-14,39,Voodoo,Future ft. Kodak Black
39,2022-05-14,40,Numb Little Bug,Em Beihold
40,2022-05-14,41,Sweetest Pie,Megan Thee Stallion & Dua Lipa
41,2022-05-14,42,To The Moon!,JNR CHOI & Sam Tompkins
42,2022-05-14,43,Thousand Miles,The Kid LAROI
43,2022-05-14,44,Honest,Justin Bieber & Don Toliver
44,2022-05-14,45,We Jus Wanna Get High,Future
45,2022-05-14,46,Holy Ghost,Future
46,2022-05-14,47,Hrs And Hrs,Muni Long
47,2022-05-14,48,Doin' This,Luke Combs
48,2022-05-14,49,Good 4 U,Olivia Rodrigo
49,2022-05-14,50,Trouble With A Heartbreak,Jason Aldean
50,2022-05-14,51,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
51,2022-05-14,52,Right On,Lil Baby
52,2022-05-14,53,Never Say Never,Cole Swindell / Lainey Wilson
53,2022-05-14,54,Frozen,Lil Baby
54,2022-05-14,55,If I Was A Cowboy,Miranda Lambert
55,2022-05-14,56,She's All I Wanna Be,Tate McRae
56,2022-05-14,57,Take My Name,Parmalee
57,2022-05-14,58,Back To The Basics,Future
58,2022-05-14,59,When You're Gone,Shawn Mendes
59,2022-05-14,60,The Way Things Going,Future
60,2022-05-14,61,What Happened To Virgil,Lil Durk ft. Gunna
61,2022-05-14,62,Damn Strait,Scotty McCreery
62,2022-05-14,63,Peru,Fireboy DML & Ed Sheeran
63,2022-05-14,64,The Motto,Tiesto & Ava Max
64,2022-05-14,65,Freaky Deaky,Tyga X Doja Cat
65,2022-05-14,66,Don't Think Jesus,Morgan Wallen
66,2022-05-14,67,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
67,2022-05-14,68,Pushin P,Gunna & Future ft. Young Thug
68,2022-05-14,69,Fingers Crossed,Lauren Spencer-Smith
69,2022-05-14,70,2step,Ed Sheeran ft. Lil Baby
70,2022-05-14,71,Beers On Me,"Dierks Bentley, BRELAND & HARDY"
71,2022-05-14,72,Get Into It (Yuh),Doja Cat
72,2022-05-14,73,Flowers,Lauren Spencer-Smith
73,2022-05-14,74,Slow Down Summer,Thomas Rhett
74,2022-05-14,75,23,Sam Hunt
75,2022-05-14,76,Me Or Sum,"Nardo Wick, Lil Baby & Future"
76,2022-05-14,77,Something In The Orange,Zach Bryan
77,2022-05-14,78,Give Heaven Some Hell,HARDY
78,2022-05-14,79,Plan B,Megan Thee Stallion
79,2022-05-14,80,That That,PSY ft. SUGA
80,2022-05-14,81,Broadway Girls,Lil Durk ft. Morgan Wallen
81,2022-05-14,82,In The Stars,Benson Boone
82,2022-05-14,83,Flower Shops,ERNEST ft. Morgan Wallen
83,2022-05-14,84,No Love,Summer Walker & SZA
84,2022-05-14,85,Nail Tech,Jack Harlow
85,2022-05-14,86,Handsomer,Russ ft. Ktlyn
86,2022-05-14,87,Surface Pressure,Jessica Darrow
87,2022-05-14,88,Light Switch,Charlie Puth
88,2022-05-14,89,Circles Around This Town,Maren Morris
89,2022-05-14,90,I Love You So,The Walters
90,2022-05-14,91,Fall In Love,Bailey Zimmerman
91,2022-05-14,92,Envolver,Anitta
